Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05, 174.80 , 175.51 , 171.60 , 173.51 , 173.51 ," 3,050,600.00 "
2023-01-06, 174.96 , 181.74 , 171.40 , 180.35 , 180.35 ," 3,575,000.00 "
2023-01-09, 181.80 , 188.36 , 177.27 , 183.95 , 183.95 ," 4,344,000.00 "
2023-01-10, 182.70 , 189.81 , 181.50 , 189.65 , 189.65 ," 2,457,900.00 "
2023-01-11, 188.57 , 189.65 , 182.67 , 186.64 , 186.64 ," 3,152,700.00 "
2023-01-12, 186.54 , 189.29 , 179.15 , 188.06 , 188.06 ," 3,881,600.00 "
2023-01-13, 185.08 , 192.12 , 185.05 , 192.00 , 192.00 ," 3,230,200.00 "
2023-01-17, 187.90 , 194.63 , 187.64 , 190.69 , 190.69 ," 3,722,100.00 "
2023-01-18, 200.32 , 207.51 , 195.02 , 197.02 , 197.02 ," 11,058,900.00 "
2023-01-19, 196.21 , 197.31 , 190.32 , 190.38 , 190.38 ," 4,273,900.00 "
2023-01-20, 190.60 , 194.59 , 188.52 , 193.98 , 193.98 ," 4,047,200.00 "
2023-01-23, 192.61 , 198.86 , 192.21 , 196.94 , 196.94 ," 2,907,300.00 "
2023-01-24, 195.83 , 197.06 , 193.21 , 196.76 , 196.76 ," 1,851,300.00 "
2023-01-25, 194.33 , 194.96 , 189.75 , 193.07 , 193.07 ," 2,288,200.00 "
2023-01-26, 194.43 , 195.00 , 187.55 , 193.24 , 193.24 ," 2,392,300.00 "
2023-01-27, 191.91 , 193.52 , 188.28 , 189.35 , 189.35 ," 3,346,500.00 "
2023-01-30, 187.23 , 187.59 , 180.64 , 180.87 , 180.87 ," 3,198,200.00 "
2023-01-31, 176.50 , 180.21 , 173.78 , 176.06 , 176.06 ," 6,212,700.00 "
2023-02-01, 174.70 , 176.30 , 167.28 , 174.30 , 174.30 ," 5,607,500.00 "
2023-02-02, 173.40 , 176.73 , 170.51 , 176.35 , 176.35 ," 4,061,500.00 "
2023-02-03, 172.74 , 178.74 , 172.40 , 173.25 , 173.25 ," 2,821,400.00 "
2023-02-06, 171.98 , 174.41 , 169.67 , 170.27 , 170.27 ," 2,858,000.00 "
2023-02-07, 170.26 , 171.87 , 167.03 , 171.06 , 171.06 ," 2,574,100.00 "
2023-02-08, 169.33 , 170.39 , 164.15 , 164.34 , 164.34 ," 2,960,500.00 "
2023-02-09, 167.03 , 170.10 , 163.19 , 164.48 , 164.48 ," 2,853,800.00 "
2023-02-10, 164.00 , 169.51 , 162.65 , 169.28 , 169.28 ," 2,945,200.00 "
2023-02-13, 168.73 , 171.77 , 166.01 , 171.48 , 171.48 ," 2,702,300.00 "
2023-02-14, 170.89 , 176.04 , 169.29 , 175.62 , 175.62 ," 2,906,400.00 "
2023-02-15, 173.17 , 177.37 , 172.45 , 177.28 , 177.28 ," 1,962,200.00 "
2023-02-16, 173.07 , 176.20 , 171.59 , 172.31 , 172.31 ," 2,466,600.00 "
2023-02-17, 163.00 , 166.72 , 160.66 , 166.60 , 166.60 ," 5,057,000.00 "
2023-02-21, 165.25 , 166.86 , 159.49 , 160.09 , 160.09 ," 3,295,700.00 "
2023-02-22, 160.35 , 161.49 , 157.00 , 158.17 , 158.17 ," 3,082,500.00 "
2023-02-23, 153.73 , 157.50 , 143.72 , 147.57 , 147.57 ," 9,378,900.00 "
2023-02-24, 140.53 , 144.27 , 138.21 , 139.26 , 139.26 ," 5,998,700.00 "
2023-02-27, 139.52 , 140.91 , 136.72 , 138.27 , 138.27 ," 4,966,000.00 "
2023-02-28, 138.27 , 140.96 , 137.37 , 138.81 , 138.81 ," 3,995,000.00 "
2023-03-01, 138.39 , 140.28 , 133.66 , 135.66 , 135.66 ," 4,588,100.00 "
2023-03-02, 135.36 , 139.03 , 135.34 , 137.86 , 137.86 ," 3,305,400.00 "
2023-03-03, 138.68 , 144.85 , 138.15 , 143.20 , 143.20 ," 3,964,800.00 "
2023-03-06, 143.30 , 145.06 , 142.63 , 144.03 , 144.03 ," 2,871,100.00 "
2023-03-07, 143.78 , 145.74 , 139.68 , 141.05 , 141.05 ," 2,777,700.00 "
2023-03-08, 140.32 , 142.53 , 140.32 , 142.08 , 142.08 ," 2,193,800.00 "
2023-03-09, 142.04 , 144.03 , 136.52 , 137.36 , 137.36 ," 3,092,600.00 "
2023-03-10, 137.06 , 141.55 , 135.59 , 138.29 , 138.29 ," 3,886,300.00 "
2023-03-13, 138.49 , 148.94 , 138.06 , 147.90 , 147.90 ," 5,681,300.00 "
2023-03-14, 148.98 , 154.88 , 148.05 , 151.28 , 151.28 ," 3,952,600.00 "
2023-03-15, 148.88 , 151.19 , 147.61 , 149.60 , 149.60 ," 2,740,000.00 "
2023-03-16, 149.67 , 152.85 , 147.97 , 151.78 , 151.78 ," 2,654,300.00 "
2023-03-17, 151.92 , 154.48 , 149.10 , 150.02 , 150.02 ," 5,997,400.00 "
2023-03-20, 150.01 , 156.57 , 148.66 , 154.52 , 154.52 ," 3,263,800.00 "
2023-03-21, 154.54 , 155.70 , 151.82 , 152.10 , 152.10 ," 3,010,600.00 "
2023-03-22, 153.31 , 153.68 , 148.07 , 148.18 , 148.18 ," 2,820,600.00 "
2023-03-23, 149.92 , 153.76 , 146.90 , 149.42 , 149.42 ," 2,708,700.00 "
2023-03-24, 149.74 , 152.57 , 148.97 , 150.88 , 150.88 ," 1,988,400.00 "
2023-03-27, 149.80 , 150.38 , 145.36 , 148.35 , 148.35 ," 2,641,400.00 "
2023-03-28, 147.98 , 149.66 , 146.18 , 146.92 , 146.92 ," 1,992,800.00 "
2023-03-29, 149.00 , 150.09 , 147.55 , 148.80 , 148.80 ," 1,902,400.00 "
2023-03-30, 150.20 , 151.25 , 146.60 , 147.44 , 147.44 ," 2,209,600.00 "
2023-03-31, 148.52 , 154.98 , 147.89 , 153.58 , 153.58 ," 3,784,600.00 "
2023-04-03, 153.50 , 159.99 , 153.50 , 159.48 , 159.48 ," 3,972,400.00 "
2023-04-04, 159.21 , 159.68 , 156.03 , 156.52 , 156.52 ," 2,308,700.00 "
2023-04-05, 155.79 , 156.87 , 152.25 , 154.61 , 154.61 ," 2,278,800.00 "
2023-04-06, 155.00 , 159.07 , 153.49 , 158.27 , 158.27 ," 2,618,700.00 "
2023-04-10, 160.00 , 161.19 , 154.45 , 160.15 , 160.15 ," 2,726,100.00 "
2023-04-11, 152.43 , 156.78 , 149.32 , 155.25 , 155.25 ," 6,591,100.00 "
2023-04-12, 156.35 , 159.05 , 154.62 , 155.56 , 155.56 ," 2,964,900.00 "
2023-04-13, 156.61 , 162.10 , 155.32 , 160.53 , 160.53 ," 2,911,500.00 "
2023-04-14, 159.95 , 163.24 , 155.35 , 157.10 , 157.10 ," 2,661,700.00 "
2023-04-17, 156.60 , 156.75 , 143.21 , 143.97 , 143.97 ," 11,560,400.00 "
2023-04-18, 144.00 , 144.93 , 141.01 , 142.63 , 142.63 ," 4,405,500.00 "
2023-04-19, 141.57 , 144.06 , 141.25 , 142.82 , 142.82 ," 2,820,200.00 "
2023-04-20, 141.40 , 144.43 , 140.44 , 141.14 , 141.14 ," 3,144,000.00 "
2023-04-21, 141.01 , 142.82 , 138.55 , 140.85 , 140.85 ," 3,128,200.00 "
2023-04-24, 140.87 , 141.20 , 136.05 , 138.14 , 138.14 ," 3,502,900.00 "
2023-04-25, 138.13 , 139.62 , 134.70 , 134.90 , 134.90 ," 3,276,400.00 "
2023-04-26, 134.81 , 135.97 , 129.88 , 130.72 , 130.72 ," 3,575,100.00 "
2023-04-27, 130.89 , 132.27 , 129.65 , 130.07 , 130.07 ," 3,097,600.00 "
2023-04-28, 130.04 , 133.26 , 129.02 , 132.89 , 132.89 ," 3,023,400.00 "
2023-05-01, 132.00 , 134.53 , 130.71 , 133.40 , 133.40 ," 2,748,500.00 "
2023-05-02, 133.51 , 135.56 , 130.54 , 131.40 , 131.40 ," 3,247,600.00 "
2023-05-03, 130.52 , 132.88 , 129.85 , 130.14 , 130.14 ," 3,322,100.00 "
2023-05-04, 133.93 , 138.22 , 129.75 , 134.33 , 134.33 ," 5,504,800.00 "
2023-05-05, 134.65 , 138.18 , 132.14 , 137.04 , 137.04 ," 3,376,500.00 "
2023-05-08, 136.24 , 137.13 , 131.20 , 131.75 , 131.75 ," 3,990,700.00 "
2023-05-09, 131.48 , 133.88 , 130.91 , 133.77 , 133.77 ," 2,560,400.00 "
2023-05-10, 134.56 , 135.33 , 130.37 , 130.83 , 130.83 ," 2,842,800.00 "
2023-05-11, 130.97 , 131.40 , 126.55 , 128.41 , 128.41 ," 2,868,700.00 "
2023-05-12, 128.50 , 131.06 , 128.05 , 129.30 , 129.30 ," 1,894,500.00 "
2023-05-15, 128.70 , 130.75 , 126.50 , 130.26 , 130.26 ," 2,279,300.00 "
2023-05-16, 129.37 , 129.50 , 124.25 , 125.11 , 125.11 ," 3,686,600.00 "
2023-05-17, 124.25 , 126.99 , 122.56 , 125.57 , 125.57 ," 2,574,400.00 "
2023-05-18, 125.92 , 126.01 , 122.99 , 125.33 , 125.33 ," 3,008,900.00 "
2023-05-19, 126.18 , 126.88 , 124.58 , 126.24 , 126.24 ," 2,599,100.00 "
2023-05-22, 126.25 , 127.83 , 125.69 , 126.74 , 126.74 ," 1,682,900.00 "
2023-05-23, 126.49 , 139.91 , 125.60 , 137.75 , 137.75 ," 7,730,500.00 "
2023-05-24, 141.19 , 142.79 , 130.34 , 131.59 , 131.59 ," 5,320,900.00 "
2023-05-25, 130.00 , 130.16 , 125.80 , 126.47 , 126.47 ," 4,234,900.00 "
2023-05-26, 128.49 , 128.49 , 124.25 , 126.24 , 126.24 ," 3,640,800.00 "
2023-05-30, 126.47 , 129.24 , 124.23 , 128.89 , 128.89 ," 2,618,500.00 "
2023-05-31, 128.88 , 130.45 , 125.16 , 127.71 , 127.71 ," 3,929,500.00 "
2023-06-01, 128.44 , 129.09 , 125.50 , 128.52 , 128.52 ," 1,942,200.00 "
2023-06-02, 129.75 , 131.65 , 128.82 , 130.51 , 130.51 ," 2,355,900.00 "
2023-06-05, 131.00 , 134.59 , 128.84 , 128.90 , 128.90 ," 3,206,100.00 "
2023-06-06, 129.00 , 129.15 , 124.75 , 126.90 , 126.90 ," 2,491,400.00 "
2023-06-07, 126.59 , 127.09 , 125.30 , 125.61 , 125.61 ," 3,161,400.00 "
2023-06-08, 125.41 , 125.41 , 122.28 , 124.94 , 124.94 ," 2,496,600.00 "
2023-06-09, 124.70 , 125.63 , 122.80 , 123.26 , 123.26 ," 2,201,900.00 "
2023-06-12, 123.36 , 123.88 , 121.55 , 123.52 , 123.52 ," 2,979,100.00 "
2023-06-13, 123.25 , 128.84 , 122.90 , 127.98 , 127.98 ," 3,328,100.00 "
2023-06-14, 128.08 , 128.62 , 124.61 , 126.05 , 126.05 ," 2,980,200.00 "
2023-06-15, 126.00 , 130.19 , 125.08 , 129.98 , 129.98 ," 3,027,800.00 "
2023-06-16, 130.95 , 133.16 , 126.98 , 128.73 , 128.73 ," 5,497,900.00 "
2023-06-20, 127.80 , 128.20 , 124.06 , 124.23 , 124.23 ," 2,989,700.00 "
2023-06-21, 123.50 , 124.16 , 121.00 , 121.07 , 121.07 ," 2,908,100.00 "
2023-06-22, 121.00 , 121.32 , 118.44 , 120.48 , 120.48 ," 3,264,800.00 "
2023-06-23, 119.70 , 120.12 , 117.23 , 118.50 , 118.50 ," 3,275,400.00 "
2023-06-26, 121.20 , 122.95 , 119.21 , 120.41 , 120.41 ," 3,466,100.00 "
2023-06-27, 120.45 , 120.89 , 118.51 , 120.67 , 120.67 ," 2,375,300.00 "
2023-06-28, 121.19 , 123.22 , 119.16 , 123.00 , 123.00 ," 2,534,300.00 "
2023-06-29, 122.50 , 122.98 , 121.30 , 122.11 , 122.11 ," 1,886,100.00 "
2023-06-30, 123.15 , 123.61 , 121.50 , 121.50 , 121.50 ," 2,399,900.00 "
2023-07-03, 121.75 , 122.94 , 120.12 , 121.73 , 121.73 ," 1,782,000.00 "
2023-07-05, 122.89 , 128.98 , 122.51 , 123.54 , 123.54 ," 5,001,200.00 "
2023-07-06, 122.51 , 123.27 , 117.11 , 118.29 , 118.29 ," 4,849,400.00 "
2023-07-07, 118.01 , 120.14 , 117.82 , 118.87 , 118.87 ," 2,433,400.00 "
2023-07-10, 118.87 , 123.60 , 118.64 , 123.09 , 123.09 ," 3,401,800.00 "
2023-07-11, 123.44 , 124.50 , 121.21 , 122.13 , 122.13 ," 2,127,300.00 "
2023-07-12, 124.46 , 127.38 , 123.55 , 125.92 , 125.92 ," 2,968,600.00 "
2023-07-13, 126.52 , 128.06 , 126.06 , 126.61 , 126.61 ," 2,521,400.00 "
2023-07-14, 124.52 , 124.88 , 120.58 , 121.35 , 121.35 ," 4,062,900.00 "
2023-07-17, 120.60 , 122.84 , 120.07 , 122.60 , 122.60 ," 2,681,800.00 "
2023-07-18, 122.60 , 125.49 , 121.75 , 122.61 , 122.61 ," 2,837,300.00 "
2023-07-19, 123.49 , 126.78 , 123.22 , 125.17 , 125.17 ," 3,029,000.00 "
2023-07-20, 124.58 , 127.48 , 124.58 , 124.77 , 124.77 ," 2,622,400.00 "
2023-07-21, 125.73 , 127.22 , 121.61 , 126.43 , 126.43 ," 7,267,000.00 "
2023-07-24, 126.43 , 126.46 , 121.28 , 123.01 , 123.01 ," 4,149,600.00 "
2023-07-25, 123.18 , 125.36 , 121.78 , 121.87 , 121.87 ," 2,852,300.00 "
2023-07-26, 121.87 , 121.95 , 118.90 , 120.65 , 120.65 ," 2,583,600.00 "
2023-07-27, 121.50 , 122.14 , 118.25 , 118.51 , 118.51 ," 2,545,200.00 "
2023-07-28, 119.23 , 120.23 , 118.48 , 118.66 , 118.66 ," 2,388,000.00 "
2023-07-31, 118.72 , 119.04 , 117.05 , 117.66 , 117.66 ," 3,161,500.00 "
2023-08-01, 117.00 , 117.05 , 113.77 , 113.94 , 113.94 ," 4,860,200.00 "
2023-08-02, 112.60 , 114.12 , 110.04 , 110.22 , 110.22 ," 4,541,000.00 "
2023-08-03, 108.63 , 114.77 , 108.26 , 109.95 , 109.95 ," 6,017,100.00 "
2023-08-04, 108.89 , 111.68 , 107.60 , 108.19 , 108.19 ," 4,032,400.00 "
2023-08-07, 106.53 , 106.53 , 98.43 , 101.20 , 101.20 ," 10,238,900.00 "
2023-08-08, 101.36 , 101.82 , 98.86 , 99.74 , 99.74 ," 4,704,100.00 "
2023-08-09, 99.57 , 102.85 , 98.64 , 101.82 , 101.82 ," 3,758,500.00 "
2023-08-10, 102.88 , 104.17 , 99.69 , 100.28 , 100.28 ," 3,109,600.00 "
2023-08-11, 99.08 , 102.02 , 98.95 , 101.49 , 101.49 ," 2,834,200.00 "
2023-08-14, 100.87 , 100.87 , 97.80 , 100.00 , 100.00 ," 3,037,900.00 "
2023-08-15, 98.73 , 98.93 , 96.10 , 96.41 , 96.41 ," 3,226,500.00 "
2023-08-16, 95.46 , 99.74 , 95.02 , 98.92 , 98.92 ," 5,198,600.00 "
2023-08-17, 98.99 , 106.58 , 98.92 , 106.24 , 106.24 ," 7,535,400.00 "
